"boostings","learning_rates","max_bins","num_leaves","max_depth","iteration","binary_logloss","auc","binary_error"
"gbdt",0.1,125,20,-1,14,0.354,0.925,0.129
"dart",0.01,125,20,-1,6,0.641,0.913,0.404
"gbdt",0.01,125,20,-1,6,0.641,0.909,0.404
"dart",0.001,125,20,-1,6,0.671,0.91,0.404
"gbdt",0.001,125,20,-1,6,0.671,0.905,0.404
"dart",0.1,75,20,-1,18,0.36,0.931,0.125
"gbdt",0.1,75,20,-1,22,0.315,0.933,0.124
"dart",0.01,75,20,-1,6,0.642,0.899,0.404
"gbdt",0.01,75,20,-1,6,0.643,0.908,0.404
"dart",0.001,75,20,-1,6,0.671,0.909,0.404
"gbdt",0.001,75,20,-1,6,0.671,0.907,0.404
"dart",0.1,250,20,-1,18,0.362,0.928,0.129
"gbdt",0.1,250,20,-1,11,0.376,0.925,0.128
"dart",0.01,250,20,-1,6,0.642,0.91,0.404
"gbdt",0.01,250,20,-1,6,0.641,0.907,0.404
"dart",0.001,250,20,-1,6,0.671,0.909,0.404
"gbdt",0.001,250,20,-1,6,0.671,0.907,0.404
"dart",0.1,255,40,-1,19,0.358,0.928,0.139
"gbdt",0.1,255,40,-1,14,0.351,0.928,0.131
"dart",0.01,255,40,-1,6,0.64,0.897,0.404
"gbdt",0.01,255,40,-1,6,0.64,0.9,0.404
"dart",0.001,255,40,-1,6,0.671,0.895,0.404
"gbdt",0.001,255,40,-1,6,0.672,0.882,0.404
"dart",0.1,25,40,-1,18,0.361,0.921,0.137
"gbdt",0.1,25,40,-1,21,0.314,0.934,0.125
"dart",0.01,25,40,-1,6,0.641,0.908,0.404
"gbdt",0.01,25,40,-1,6,0.64,0.912,0.404
"dart",0.001,25,40,-1,6,0.671,0.905,0.404
"gbdt",0.001,25,40,-1,6,0.671,0.896,0.404
"dart",0.1,15,40,-1,18,0.36,0.923,0.136
"gbdt",0.1,15,40,-1,16,0.343,0.925,0.132
"dart",0.01,15,40,-1,6,0.641,0.901,0.404
"gbdt",0.01,15,40,-1,6,0.641,0.905,0.404
"dart",0.001,15,40,-1,6,0.671,0.891,0.404
"gbdt",0.001,15,40,-1,6,0.672,0.894,0.404
"dart",0.1,125,40,-1,18,0.357,0.927,0.134
"gbdt",0.1,125,40,-1,19,0.326,0.929,0.128
"dart",0.01,125,40,-1,6,0.64,0.905,0.404
"gbdt",0.01,125,40,-1,6,0.64,0.902,0.404
"dart",0.001,125,40,-1,6,0.672,0.898,0.404
"gbdt",0.001,125,40,-1,6,0.672,0.905,0.404
"dart",0.1,75,40,-1,18,0.353,0.928,0.127
"gbdt",0.1,75,40,-1,21,0.315,0.933,0.126
"dart",0.01,75,40,-1,6,0.641,0.904,0.404
"gbdt",0.01,75,40,-1,6,0.64,0.904,0.404
"dart",0.001,75,40,-1,6,0.672,0.897,0.404
"gbdt",0.001,75,40,-1,6,0.671,0.913,0.404
"dart",0.1,250,40,-1,18,0.361,0.924,0.135
"gbdt",0.1,250,40,-1,16,0.333,0.93,0.127
"dart",0.01,250,40,-1,6,0.64,0.91,0.404
"gbdt",0.01,250,40,-1,6,0.642,0.904,0.404
"dart",0.001,250,40,-1,6,0.671,0.896,0.404
"gbdt",0.001,250,40,-1,6,0.672,0.895,0.404
"dart",0.1,255,10,10,18,0.377,0.92,0.134
"gbdt",0.1,255,10,10,53,0.294,0.936,0.123
"dart",0.01,255,10,10,6,0.646,0.891,0.404
"gbdt",0.01,255,10,10,6,0.645,0.899,0.404
"dart",0.001,255,10,10,6,0.672,0.896,0.404
"gbdt",0.001,255,10,10,6,0.672,0.888,0.404
"dart",0.1,25,10,10,16,0.384,0.919,0.137
"gbdt",0.1,25,10,10,18,0.346,0.925,0.134
"dart",0.01,25,10,10,6,0.645,0.891,0.404
"gbdt",0.01,25,10,10,6,0.644,0.896,0.404
"dart",0.001,25,10,10,6,0.671,0.891,0.404
"gbdt",0.001,25,10,10,6,0.672,0.895,0.404
"dart",0.1,15,10,10,18,0.383,0.915,0.137
"gbdt",0.1,15,10,10,47,0.297,0.932,0.121
"dart",0.01,15,10,10,6,0.646,0.886,0.404
"gbdt",0.01,15,10,10,6,0.644,0.895,0.404
"dart",0.001,15,10,10,6,0.672,0.879,0.404
"gbdt",0.001,15,10,10,6,0.672,0.887,0.404
"dart",0.1,125,10,10,18,0.377,0.921,0.134
"gbdt",0.1,125,10,10,14,0.369,0.919,0.137
"dart",0.01,125,10,10,6,0.645,0.893,0.404
"gbdt",0.01,125,10,10,6,0.645,0.892,0.404
"dart",0.001,125,10,10,6,0.671,0.892,0.404
"gbdt",0.001,125,10,10,6,0.672,0.887,0.404
"dart",0.1,75,10,10,18,0.379,0.925,0.136
"gbdt",0.1,75,10,10,22,0.327,0.927,0.13
"dart",0.01,75,10,10,6,0.645,0.899,0.404
"gbdt",0.01,75,10,10,6,0.645,0.898,0.404
"dart",0.001,75,10,10,6,0.672,0.888,0.404
"gbdt",0.001,75,10,10,6,0.672,0.894,0.404
"dart",0.1,250,10,10,18,0.375,0.925,0.137
"gbdt",0.1,250,10,10,13,0.377,0.922,0.138
"dart",0.01,250,10,10,6,0.645,0.896,0.404
"gbdt",0.01,250,10,10,6,0.644,0.9,0.404
"dart",0.001,250,10,10,6,0.672,0.89,0.404
"gbdt",0.001,250,10,10,6,0.672,0.888,0.404
"dart",0.1,255,15,10,18,0.364,0.926,0.127
"gbdt",0.1,255,15,10,17,0.339,0.93,0.128
"dart",0.01,255,15,10,6,0.643,0.907,0.404
"gbdt",0.01,255,15,10,6,0.643,0.902,0.404
"dart",0.001,255,15,10,6,0.671,0.891,0.404
"gbdt",0.001,255,15,10,6,0.672,0.898,0.404
"dart",0.1,25,15,10,16,0.37,0.926,0.128
"gbdt",0.1,25,15,10,18,0.334,0.931,0.13
"dart",0.01,25,15,10,6,0.643,0.906,0.404
"gbdt",0.01,25,15,10,6,0.643,0.903,0.404
"dart",0.001,25,15,10,6,0.672,0.9,0.404
"gbdt",0.001,25,15,10,6,0.672,0.899,0.404
"dart",0.1,15,15,10,11,0.416,0.919,0.132
"gbdt",0.1,15,15,10,22,0.321,0.927,0.125
"dart",0.01,15,15,10,6,0.643,0.898,0.404
"gbdt",0.01,15,15,10,6,0.643,0.907,0.404
"dart",0.001,15,15,10,6,0.672,0.892,0.404
"gbdt",0.001,15,15,10,6,0.672,0.898,0.404
"dart",0.1,125,15,10,16,0.366,0.931,0.129
"gbdt",0.1,125,15,10,25,0.311,0.932,0.128
"dart",0.01,125,15,10,6,0.642,0.911,0.404
"gbdt",0.01,125,15,10,6,0.642,0.907,0.404
"dart",0.001,125,15,10,6,0.672,0.9,0.404
"gbdt",0.001,125,15,10,6,0.671,0.904,0.404
"dart",0.1,75,15,10,18,0.363,0.93,0.129
"gbdt",0.1,75,15,10,21,0.323,0.931,0.126
"dart",0.01,75,15,10,6,0.643,0.911,0.404
"gbdt",0.01,75,15,10,6,0.642,0.906,0.404
"dart",0.001,75,15,10,6,0.671,0.906,0.404
"gbdt",0.001,75,15,10,6,0.672,0.904,0.404
"dart",0.1,250,15,10,15,0.378,0.928,0.131
"gbdt",0.1,250,15,10,27,0.311,0.931,0.125
"dart",0.01,250,15,10,6,0.642,0.906,0.404
"gbdt",0.01,250,15,10,6,0.643,0.907,0.404
"dart",0.001,250,15,10,6,0.672,0.905,0.404
"gbdt",0.001,250,15,10,6,0.673,0.901,0.404
"dart",0.1,255,20,10,18,0.358,0.931,0.127
